"State Name","State Abbreviation","State FIPS","Part D Prescribers","Part D Opioid Prescribers","Opioid Claims","Extended Release Opioid Claims","Overall Claims","Opioid Prescribing Rate","Extended Release Opioid Prescribing Rate","Year","Change in Opioid Prescribing Rate","Change in Extended Release Opioid Prescribing Rate"
"Alabama","AL","01",12820,7422,2260284,118523,29160952,7.75,5.24,2013,0,0
"Alaska","AK","02",2275,1099,86517,8602,1281057,6.75,9.94,2013,0,0
"Arizona","AZ","04",20542,10510,1545138,151086,22126421,6.98,9.78,2013,0,0
"Arkansas","AR","05",7909,4700,1128356,57519,16759116,6.73,5.1,2013,0,0
"California","CA","06",109571,49671,7228782,474288,131858055,5.48,6.56,2013,0,0
"Colorado","CO","08",17270,8814,1084129,89225,14414446,7.52,8.23,2013,0,0
"Connecticut","CT","09",16017,6306,671688,36924,14868708,4.52,5.5,2013,0,0
"Delaware","DE","10",3205,1568,233078,20044,3539422,6.59,8.6,2013,0,0
"District of Columbia","DC","11",4324,1299,81482,3371,1882475,4.33,4.14,2013,0,0
"Florida","FL","12",61030,28295,5246555,386927,100554511,5.22,7.37,2013,0,0
"Georgia","GA","13",25626,13627,2703771,146511,41159612,6.57,5.42,2013,0,0
"Hawaii","HI","15",4052,1696,176305,14768,4534238,3.89,8.38,2013,0,0
"Idaho","ID","16",4752,2672,435716,36885,5626385,7.74,8.47,2013,0,0
"Illinois","IL","17",41758,17959,2292480,79850,45989415,4.98,3.48,2013,0,0
"Indiana","IN","18",19371,10646,2125966,132277,30715474,6.92,6.22,2013,0,0
"Iowa","IA","19",9767,4881,805242,38698,16449820,4.9,4.81,2013,0,0
"Kansas","KS","20",9120,4870,860248,52083,13509503,6.37,6.05,2013,0,0
"Kentucky","KY","21",14341,6636,1763873,76177,28344069,6.22,4.32,2013,0,0
"Louisiana","LA","22",14819,7690,1559052,67275,24543937,6.35,4.32,2013,0,0
"Maine","ME","23",5821,3101,425795,31934,6734423,6.32,7.5,2013,0,0
"Maryland","MD","24",21071,8808,939000,76842,15527000,6.05,8.18,2013,0,0
"Massachusetts","MA","25",32791,13525,1331244,92833,29692855,4.48,6.97,2013,0,0
"Michigan","MI","26",37873,19156,3328161,203594,44484022,7.48,6.12,2013,0,0
"Minnesota","MN","27",19975,9580,1082073,53655,20486240,5.28,4.96,2013,0,0
"Mississippi","MS","28",8334,4772,1101786,40151,17156476,6.42,3.64,2013,0,0
"Missouri","MO","29",19807,9927,2039124,106426,33203868,6.14,5.22,2013,0,0
"Montana","MT","30",3376,1886,268035,19721,3932526,6.82,7.36,2013,0,0
"Nebraska","NE","31",6311,3086,454065,22346,8918769,5.09,4.92,2013,0,0
"Nevada","NV","32",6711,3671,681809,71293,8375492,8.14,10.46,2013,0,0
"New Hampshire","NH","33",5392,2638,293762,27100,4715579,6.23,9.23,2013,0,0
"New Jersey","NJ","34",29842,12402,1447669,67636,33893274,4.27,4.67,2013,0,0
"New Mexico","NM","35",6785,3316,442975,29782,6806411,6.51,6.72,2013,0,0
"New York","NY","36",85843,29614,2804472,156225,90299993,3.11,5.57,2013,0,0
"North Carolina","NC","37",32095,17525,3204555,205781,50627019,6.33,6.42,2013,0,0
"North Dakota","ND","38",2661,1373,164414,7719,3569815,4.61,4.69,2013,0,0
"Ohio","OH","39",40658,20099,3447253,173332,59188821,5.82,5.03,2013,0,0
"Oklahoma","OK","40",10961,6222,1298037,81008,16715340,7.77,6.24,2013,0,0
"Oregon","OR","41",14846,7789,1206329,127031,15991490,7.54,10.53,2013,0,0
"Pennsylvania","PA","42",52450,23292,3530705,208705,70368649,5.02,5.91,2013,0,0
"Rhode Island","RI","44",4705,2121,254915,9243,6146170,4.15,3.63,2013,0,0
"South Carolina","SC","45",13481,7594,1439682,66192,21065787,6.83,4.6,2013,0,0
"South Dakota","SD","46",3028,1563,209426,9869,4031023,5.2,4.71,2013,0,0
"Tennessee","TN","47",22487,12577,2875441,242123,38952468,7.38,8.42,2013,0,0
"Texas","TX","48",64951,32057,5182878,197616,85014761,6.1,3.81,2013,0,0
"Utah","UT","49",7907,3857,522285,42585,6776450,7.71,8.15,2013,0,0
"Vermont","VT","50",2485,1171,144746,15228,2442569,5.93,10.52,2013,0,0
"Virginia","VA","51",24227,11824,1711665,88604,28694212,5.97,5.18,2013,0,0
"Washington","WA","53",24159,12127,1575510,161343,22559223,6.98,10.24,2013,0,0
"West Virginia","WV","54",6715,3460,808720,32800,12357772,6.54,4.06,2013,0,0
"Wisconsin","WI","55",19761,10169,1444615,107133,24440719,5.91,7.42,2013,0,0
"Wyoming","WY","56",1692,837,95875,6403,1609822,5.96,6.68,2013,0,0
"Alabama","AL","01",13100,7429,2267090,118705,28852731,7.86,5.24,2014,0.11,0
"Alaska","AK","02",2293,1098,93606,9768,1384451,6.76,10.44,2014,0.01,0.5
"Arizona","AZ","04",21253,10837,1639782,160343,23454968,6.99,9.78,2014,0.01,0
"Arkansas","AR","05",8010,4767,1147588,59339,17302231,6.63,5.17,2014,-0.1,0.07
"California","CA","06",111395,50565,7341527,497013,134384068,5.46,6.77,2014,-0.02,0.21
"Colorado","CO","08",18116,9257,1158348,94317,15687094,7.38,8.14,2014,-0.14,-0.09
"Connecticut","CT","09",16506,6471,687547,39326,15278979,4.5,5.72,2014,-0.02,0.22
"Delaware","DE","10",3270,1578,236966,22771,3633781,6.52,9.61,2014,-0.07,1.01
"District of Columbia","DC","11",4503,1411,85536,3291,1975871,4.33,3.85,2014,0,-0.29
"Florida","FL","12",63155,28567,5447999,411621,103503755,5.26,7.56,2014,0.04,0.19
"Georgia","GA","13",26471,13485,2763178,154065,43784129,6.31,5.58,2014,-0.26,0.16
"Hawaii","HI","15",4070,1669,169043,13896,4405441,3.84,8.22,2014,-0.05,-0.16
"Idaho","ID","16",4877,2732,444560,38307,5747660,7.73,8.62,2014,-0.01,0.15
"Illinois","IL","17",43078,18502,2398636,84990,49327707,4.86,3.54,2014,-0.12,0.06
"Indiana","IN","18",19897,10647,2099838,134728,31639305,6.64,6.42,2014,-0.28,0.2
"Iowa","IA","19",10064,4941,798064,38338,16511701,4.83,4.8,2014,-0.07,-0.01
"Kansas","KS","20",9374,4964,874402,53951,13749117,6.36,6.17,2014,-0.01,0.12
"Kentucky","KY","21",14677,6821,1750550,76907,29148186,6.01,4.39,2014,-0.21,0.07
"Louisiana","LA","22",15217,7837,1566429,69736,25210469,6.21,4.45,2014,-0.14,0.13
"Maine","ME","23",5885,3109,427909,34624,6866323,6.23,8.09,2014,-0.09,0.59
"Maryland","MD","24",21535,9076,1035891,87394,17032592,6.08,8.44,2014,0.03,0.26
"Massachusetts","MA","25",33379,13610,1356186,95764,30887045,4.39,7.06,2014,-0.09,0.09
"Michigan","MI","26",38696,19735,3425448,218604,46424478,7.38,6.38,2014,-0.1,0.26
"Minnesota","MN","27",20272,9754,1104474,56110,20745962,5.32,5.08,2014,0.04,0.12
"Mississippi","MS","28",8420,4795,1092107,41766,17508059,6.24,3.82,2014,-0.18,0.18
"Missouri","MO","29",20200,10016,2097931,111184,34719914,6.04,5.3,2014,-0.1,0.08
"Montana","MT","30",3484,1907,266285,19172,3940215,6.76,7.2,2014,-0.06,-0.16
"Nebraska","NE","31",6491,3209,458491,22035,9133012,5.02,4.81,2014,-0.07,-0.11
"Nevada","NV","32",6971,3763,693911,72510,8711501,7.97,10.45,2014,-0.17,-0.01
"New Hampshire","NH","33",5543,2688,304997,28169,5012266,6.09,9.24,2014,-0.14,0.01
"New Jersey","NJ","34",30025,12574,1480126,72975,34487869,4.29,4.93,2014,0.02,0.26
"New Mexico","NM","35",6870,3302,451302,29725,6913692,6.53,6.59,2014,0.02,-0.13
"New York","NY","36",86814,29096,2800496,165199,93020253,3.01,5.9,2014,-0.1,0.33
"North Carolina","NC","37",32599,17779,3285075,217035,52260758,6.29,6.61,2014,-0.04,0.19
"North Dakota","ND","38",2726,1384,166071,7952,3560066,4.66,4.79,2014,0.05,0.1
"Ohio","OH","39",41663,20479,3428041,166439,60731399,5.64,4.86,2014,-0.18,-0.17
"Oklahoma","OK","40",11283,6204,1291247,87834,17035559,7.58,6.8,2014,-0.19,0.56
"Oregon","OR","41",15096,7981,1235479,128684,16426334,7.52,10.42,2014,-0.02,-0.11
"Pennsylvania","PA","42",53490,23712,3615392,220286,71870231,5.03,6.09,2014,0.01,0.18
"Rhode Island","RI","44",4690,2095,243603,9343,6229455,3.91,3.84,2014,-0.24,0.21
"South Carolina","SC","45",14142,7968,1577730,74576,24651558,6.4,4.73,2014,-0.43,0.13
"South Dakota","SD","46",3088,1602,212093,10447,4054596,5.23,4.93,2014,0.03,0.22
"Tennessee","TN","47",23034,12802,2934226,253943,39982186,7.34,8.65,2014,-0.04,0.23
"Texas","TX","48",66920,32212,5220348,210315,87448038,5.97,4.03,2014,-0.13,0.22
"Utah","UT","49",7980,3901,544356,45708,6976992,7.8,8.4,2014,0.09,0.25
"Vermont","VT","50",2550,1209,152713,16013,2566480,5.95,10.49,2014,0.02,-0.03
"Virginia","VA","51",24844,12102,1743661,91487,29802837,5.85,5.25,2014,-0.12,0.07
"Washington","WA","53",24599,12387,1636257,165949,23098608,7.08,10.14,2014,0.1,-0.1
"West Virginia","WV","54",6892,3444,800927,33840,12605455,6.35,4.23,2014,-0.19,0.17
"Wisconsin","WI","55",20148,10314,1488614,111029,25014906,5.95,7.46,2014,0.04,0.04
"Wyoming","WY","56",1717,878,103544,6548,1674596,6.18,6.32,2014,0.22,-0.36
"Alabama","AL","01",13492,6980,2179506,121061,28898258,7.54,5.55,2015,-0.21,0.31
"Alaska","AK","02",2342,1067,89275,9509,1339671,6.66,10.65,2015,-0.09,0.71
"Arizona","AZ","04",21833,10992,1649600,169215,24315477,6.78,10.26,2015,-0.2,0.48
"Arkansas","AR","05",8327,4714,1132475,63261,17786636,6.37,5.59,2015,-0.36,0.49
"California","CA","06",114109,50495,7054114,523120,135887329,5.19,7.42,2015,-0.29,0.86
"Colorado","CO","08",18913,9450,1182507,102465,16324742,7.24,8.67,2015,-0.28,0.44
"Connecticut","CT","09",16842,6475,685665,40701,15968637,4.29,5.94,2015,-0.23,0.44
"Delaware","DE","10",3359,1619,239058,24792,3783214,6.32,10.37,2015,-0.27,1.77
"District of Columbia","DC","11",4603,1422,83138,3406,2016527,4.12,4.1,2015,-0.21,-0.04
"Florida","FL","12",65667,26674,5470983,448033,105842279,5.17,8.19,2015,-0.05,0.82
"Georgia","GA","13",27344,13298,2758341,162758,45658642,6.04,5.9,2015,-0.53,0.48
"Hawaii","HI","15",4142,1659,160561,13913,4199272,3.82,8.67,2015,-0.07,0.29
"Idaho","ID","16",5098,2830,450912,40768,6056262,7.45,9.04,2015,-0.29,0.57
"Illinois","IL","17",44282,18776,2390792,92302,50853115,4.7,3.86,2015,-0.28,0.38
"Indiana","IN","18",20458,10600,2053960,133025,32451222,6.33,6.48,2015,-0.59,0.26
"Iowa","IA","19",10327,5148,781495,41543,16759552,4.66,5.32,2015,-0.24,0.51
"Kansas","KS","20",9567,5018,849401,56689,14065493,6.04,6.67,2015,-0.33,0.62
"Kentucky","KY","21",15138,6870,1710346,79065,29914453,5.72,4.62,2015,-0.5,0.3
"Louisiana","LA","22",15591,7793,1519230,74561,25988018,5.85,4.91,2015,-0.5,0.59
"Maine","ME","23",5959,3044,406289,36113,6830588,5.95,8.89,2015,-0.37,1.39
"Maryland","MD","24",22273,9214,1065791,97676,18018009,5.92,9.16,2015,-0.13,0.98
"Massachusetts","MA","25",34082,13695,1331669,97741,31788260,4.19,7.34,2015,-0.29,0.37
"Michigan","MI","26",39759,19579,3367892,230689,48090950,7,6.85,2015,-0.48,0.73
"Minnesota","MN","27",20605,9808,1080980,60384,21158492,5.11,5.59,2015,-0.17,0.63
"Mississippi","MS","28",8615,4847,1083075,45122,17966723,6.03,4.17,2015,-0.39,0.53
"Missouri","MO","29",20614,9449,2036536,114590,35613521,5.72,5.63,2015,-0.42,0.41
"Montana","MT","30",3676,1925,263562,21345,3979395,6.62,8.1,2015,-0.2,0.74
"Nebraska","NE","31",6650,3205,446178,25095,9292382,4.8,5.62,2015,-0.29,0.7
"Nevada","NV","32",7258,3853,697046,74180,9105288,7.66,10.64,2015,-0.48,0.18
"New Hampshire","NH","33",5701,2742,310252,28857,5430201,5.71,9.3,2015,-0.52,0.07
"New Jersey","NJ","34",30655,12549,1480360,84868,35371464,4.19,5.73,2015,-0.08,1.06
"New Mexico","NM","35",7076,3411,466970,30970,7214857,6.47,6.63,2015,-0.04,-0.09
"New York","NY","36",89057,29247,2890598,179595,94645422,3.05,6.21,2015,-0.06,0.64
"North Carolina","NC","37",33517,17927,3220983,225592,52833292,6.1,7,2015,-0.23,0.58
"North Dakota","ND","38",2777,1374,163208,8608,3568672,4.57,5.27,2015,-0.04,0.58
"Ohio","OH","39",42807,20581,3319338,171760,62192577,5.34,5.17,2015,-0.48,0.14
"Oklahoma","OK","40",11579,6065,1286402,91388,17238423,7.46,7.1,2015,-0.31,0.86
"Oregon","OR","41",15687,8107,1213171,125967,16755437,7.24,10.38,2015,-0.3,-0.15
"Pennsylvania","PA","42",54835,23822,3572229,236520,72959876,4.9,6.62,2015,-0.12,0.71
"Rhode Island","RI","44",4828,2105,228945,10522,6198793,3.69,4.6,2015,-0.46,0.97
"South Carolina","SC","45",14598,7887,1535410,79955,25373738,6.05,5.21,2015,-0.78,0.61
"South Dakota","SD","46",3149,1611,209573,11607,4105600,5.1,5.54,2015,-0.1,0.83
"Tennessee","TN","47",23747,12979,2923689,257474,40835938,7.16,8.81,2015,-0.22,0.39
"Texas","TX","48",69117,31010,4940518,227909,89482853,5.52,4.61,2015,-0.58,0.8
"Utah","UT","49",8268,4059,567431,49542,7449665,7.62,8.73,2015,-0.09,0.58
"Vermont","VT","50",2588,1207,150903,16270,2666266,5.66,10.78,2015,-0.27,0.26
"Virginia","VA","51",25331,12049,1700345,95751,30569766,5.56,5.63,2015,-0.41,0.45
"Washington","WA","53",25367,12516,1640334,167172,23754171,6.91,10.19,2015,-0.07,-0.05
"West Virginia","WV","54",7070,3318,749100,32865,12898569,5.81,4.39,2015,-0.73,0.33
"Wisconsin","WI","55",20542,10413,1476518,113984,25404564,5.81,7.72,2015,-0.1,0.3
"Wyoming","WY","56",1758,905,106201,7183,1716324,6.19,6.76,2015,0.23,0.08
"Alabama","AL","01",13880,7004,2156504,120579,28882148,7.47,5.59,2016,-0.28,0.35
"Alaska","AK","02",2406,1043,82557,9074,1225327,6.74,10.99,2016,-0.01,1.05
"Arizona","AZ","04",22361,11026,1621223,173171,24891001,6.51,10.68,2016,-0.47,0.9
"Arkansas","AR","05",8673,4854,1155171,65819,18139502,6.37,5.7,2016,-0.36,0.6
"California","CA","06",116512,50424,6956583,530420,138635091,5.02,7.62,2016,-0.46,1.06
"Colorado","CO","08",19455,9677,1170865,104650,16687651,7.02,8.94,2016,-0.5,0.71
"Connecticut","CT","09",17001,6307,666377,43667,16397364,4.06,6.55,2016,-0.46,1.05
"Delaware","DE","10",3485,1647,234536,24788,3950566,5.94,10.57,2016,-0.65,1.97
"District of Columbia","DC","11",4737,1356,79879,3848,2044312,3.91,4.82,2016,-0.42,0.68
"Florida","FL","12",67946,26665,5568389,477537,107208736,5.19,8.58,2016,-0.03,1.21
"Georgia","GA","13",28363,13546,2805072,169468,47208298,5.94,6.04,2016,-0.63,0.62
"Hawaii","HI","15",4228,1693,155670,14034,4140230,3.76,9.02,2016,-0.13,0.64
"Idaho","ID","16",5209,2863,453887,41831,6228460,7.29,9.22,2016,-0.45,0.75
"Illinois","IL","17",45525,18905,2374407,95605,51520409,4.61,4.03,2016,-0.37,0.55
"Indiana","IN","18",21121,10762,2064341,130033,33849677,6.1,6.3,2016,-0.82,0.08
"Iowa","IA","19",10564,5132,760870,41239,16957063,4.49,5.42,2016,-0.41,0.61
"Kansas","KS","20",9790,5036,839565,57340,14316770,5.86,6.83,2016,-0.51,0.78
"Kentucky","KY","21",15711,6983,1697521,76244,30898947,5.49,4.49,2016,-0.73,0.17
"Louisiana","LA","22",16126,7954,1535068,77366,26556445,5.78,5.04,2016,-0.57,0.72
"Maine","ME","23",6050,2980,384145,37416,6915912,5.55,9.74,2016,-0.77,2.24
"Maryland","MD","24",22663,9191,1066811,104789,18687934,5.71,9.82,2016,-0.34,1.64
"Massachusetts","MA","25",35029,13344,1312761,100893,34217738,3.84,7.69,2016,-0.64,0.72
"Michigan","MI","26",40761,19643,3337506,234558,49958016,6.68,7.03,2016,-0.8,0.91
"Minnesota","MN","27",21368,9829,1042791,64416,21964547,4.75,6.18,2016,-0.53,1.22
"Mississippi","MS","28",8871,4887,1094382,46299,18350416,5.96,4.23,2016,-0.46,0.59
"Missouri","MO","29",21086,9381,2008383,115326,36319542,5.53,5.74,2016,-0.61,0.52
"Montana","MT","30",3842,1990,259182,20276,4111153,6.3,7.82,2016,-0.52,0.46
"Nebraska","NE","31",6871,3266,448840,26237,9618239,4.67,5.85,2016,-0.42,0.93
"Nevada","NV","32",7552,3858,692093,73861,9306707,7.44,10.67,2016,-0.7,0.21
"New Hampshire","NH","33",5819,2642,288598,29105,5652152,5.11,10.08,2016,-1.12,0.85
"New Jersey","NJ","34",31116,12250,1459645,94871,36378002,4.01,6.5,2016,-0.26,1.83
"New Mexico","NM","35",7221,3359,454487,30415,7368196,6.17,6.69,2016,-0.34,-0.03
"New York","NY","36",91449,28544,2845381,196562,96818184,2.94,6.91,2016,-0.17,1.34
"North Carolina","NC","37",34594,18000,3192021,231591,53717099,5.94,7.26,2016,-0.39,0.84
"North Dakota","ND","38",2843,1369,158696,8255,3808769,4.17,5.2,2016,-0.44,0.51
"Ohio","OH","39",44133,20580,3205897,170211,63581782,5.04,5.31,2016,-0.78,0.28
"Oklahoma","OK","40",11852,5969,1294698,97209,17701374,7.31,7.51,2016,-0.46,1.27
"Oregon","OR","41",16023,8173,1175013,118053,16957692,6.93,10.05,2016,-0.61,-0.48
"Pennsylvania","PA","42",56277,23659,3525981,253939,75241541,4.69,7.2,2016,-0.33,1.29
"Rhode Island","RI","44",4909,2055,218898,10516,6289633,3.48,4.8,2016,-0.67,1.17
"South Carolina","SC","45",15198,7904,1539665,86907,26016478,5.92,5.64,2016,-0.91,1.04
"South Dakota","SD","46",3234,1634,212808,12566,4229862,5.03,5.9,2016,-0.17,1.19
"Tennessee","TN","47",24399,13014,2877947,245536,41292770,6.97,8.53,2016,-0.41,0.11
"Texas","TX","48",71227,31612,5012297,236440,91924608,5.45,4.72,2016,-0.65,0.91
"Utah","UT","49",8555,4124,579206,53021,7759240,7.46,9.15,2016,-0.25,1
"Vermont","VT","50",2663,1189,146706,16679,2713122,5.41,11.37,2016,-0.52,0.85
"Virginia","VA","51",25793,12035,1669331,99016,31458319,5.31,5.93,2016,-0.66,0.75
"Washington","WA","53",26086,12503,1607933,162361,24171657,6.65,10.1,2016,-0.33,-0.14
"West Virginia","WV","54",7202,3230,685130,28485,13006175,5.27,4.16,2016,-1.27,0.1
"Wisconsin","WI","55",20871,10355,1436333,111691,25932784,5.54,7.78,2016,-0.37,0.36
"Wyoming","WY","56",1791,904,104558,7062,1770588,5.91,6.75,2016,-0.05,0.07
